Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match
pytorch years seen powerful models built,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pytorch years seen powerful models built,en,2124,exact
position,1.06,1.0,1.11,100,6.55,7.2,5.89,0.01,0.01,0.0,0.03,0.04,0.03,0.45,0.5,0.41,position,en,2124,exact
factor,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,factor,en,2124,exact
exist,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exist,en,2124,exact
deployable makes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable makes,en,2124,exact
completion,1.06,1.0,1.11,100,4.57,5.03,4.12,0.06,0.07,0.05,0.27,0.3,0.25,0.75,0.83,0.68,completion,en,2124,exact
distributions measure,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,distributions measure,en,2124,exact
paperspace cost,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace cost,en,2124,exact
covers concepts,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,covers concepts,en,2124,exact
objects example,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,objects example,en,2124,exact
variety complex tasks recent,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,variety complex tasks recent,en,2124,exact
activ,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,activ,en,2124,exact
translation,1.07,1.0,1.13,100,18.22,20.04,16.4,0.46,0.51,0.42,8.42,9.26,7.58,22.14,24.36,19.93,translation,en,2124,exact
posts openai,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,posts openai,en,2124,exact
release notes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,release notes,en,2124,exact
educational,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,educational,en,2124,exact
gpu online free,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gpu online free,en,2124,exact
committed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,committed,en,2124,exact
gpu server free,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gpu server free,en,2124,exact
tidyr,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tidyr,en,2124,exact
contains,1.06,1.0,1.11,100,1.94,2.13,1.74,0.03,0.03,0.03,0.06,0.07,0.05,0.45,0.5,0.41,contains,en,2124,exact
paperspace cloud gaming,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace cloud gaming,en,2124,exact
including,1.06,1.0,1.11,100,5.86,6.45,5.27,0.03,0.03,0.02,0.16,0.18,0.15,0.9,0.99,0.81,including,en,2124,exact
hosting,3.39,3.05,3.73,100,78.29,86.12,70.46,0.53,0.59,0.48,41.88,46.06,37.69,39.61,43.57,35.65,hosting,en,2124,exact
positions,1.06,1.0,1.11,100,6.62,7.28,5.96,0.11,0.12,0.1,0.75,0.82,0.67,3.31,3.65,2.98,positions,en,2124,exact
exploring,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exploring,en,2124,exact
excellent tool teaching,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excellent tool teaching,en,2124,exact
employees greg,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,employees greg,en,2124,exact
consistent,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,consistent,en,2124,exact
modelling,1.06,1.0,1.11,100,17.0,18.7,15.3,0.7,0.77,0.63,11.9,13.09,10.71,20.48,22.53,18.44,modelling,en,2124,exact
big problems,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big problems,en,2124,exact
perform wide,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,perform wide,en,2124,exact
free gpu online,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,free gpu online,en,2124,exact
excited possibilities,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excited possibilities,en,2124,exact
introduced,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,introduced,en,2124,exact
needs smart,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,needs smart,en,2124,exact
ending,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ending,en,2124,exact
access statistics disqus,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,access statistics disqus,en,2124,exact
microservices,2.44,2.2,2.69,100,75.39,82.93,67.85,0.89,0.98,0.8,66.84,73.52,60.15,66.88,73.56,60.19,microservices,en,2124,exact
jupyter notebooks distributed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jupyter notebooks distributed,en,2124,exact
powerful,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,powerful,en,2124,exact
portability,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portability,en,2124,exact
virtual pc cloud,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,virtual pc cloud,en,2124,exact
machines quick,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,machines quick,en,2124,exact
simulated,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simulated,en,2124,exact
correspond complexity,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,correspond complexity,en,2124,exact
preview,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,preview,en,2124,exact
cloud gpu trial,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud gpu trial,en,2124,exact
download,1.06,1.0,1.11,100,5.93,6.52,5.33,1.33,1.47,1.2,7.91,8.7,7.11,16.72,18.39,15.05,download,en,2124,exact
free gpu deep learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,free gpu deep learning,en,2124,exact
programs,1.06,1.0,1.11,100,22.72,24.99,20.45,0.09,0.09,0.08,1.94,2.14,1.75,2.86,3.15,2.58,programs,en,2124,exact
membership,1.06,1.0,1.11,100,16.09,17.7,14.48,0.85,0.94,0.77,13.7,15.07,12.33,16.27,17.89,14.64,membership,en,2124,exact
projection,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projection,en,2124,exact
backward pass,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backward pass,en,2124,exact
quantum,1.06,1.0,1.11,100,7.52,8.27,6.77,0.51,0.56,0.46,3.83,4.21,3.45,6.63,7.29,5.96,quantum,en,2124,exact
internet,1.7,1.53,1.87,100,50.52,55.58,45.47,16.11,17.72,14.5,813.77,895.15,732.39,551.58,606.73,496.42,internet,en,2124,exact
console,1.06,1.0,1.11,100,8.52,9.38,7.67,0.76,0.83,0.68,6.44,7.09,5.8,12.5,13.75,11.25,console,en,2124,exact
universal,1.06,1.0,1.12,100,11.94,13.14,10.75,4.1,4.51,3.69,49.02,53.92,44.12,70.34,77.37,63.31,universal,en,2124,exact
rent server for machine learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rent server for machine learning,en,2124,exact
deployable makes highly,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deployable makes highly,en,2124,exact
research teams,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,research teams,en,2124,exact
shift slow,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shift slow,en,2124,exact
mailings,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mailings,en,2124,exact
machines trained,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,machines trained,en,2124,exact
toolkits libraries,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,toolkits libraries,en,2124,exact
setting,1.06,1.0,1.11,100,6.23,6.85,5.61,0.08,0.09,0.07,0.52,0.57,0.46,0.9,0.99,0.81,setting,en,2124,exact
helping,1.06,1.0,1.11,100,47.61,52.37,42.85,0.04,0.05,0.04,2.0,2.2,1.8,1.36,1.49,1.22,helping,en,2124,exact
agile,1.73,1.56,1.9,100,62.14,68.35,55.92,0.14,0.15,0.12,8.55,9.41,7.7,12.65,13.92,11.39,agile,en,2124,exact
open source,1.17,1.05,1.29,100,62.38,68.62,56.14,0.32,0.36,0.29,20.18,22.2,18.16,30.58,33.63,27.52,open source,en,2124,exact
looking ways,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,looking ways,en,2124,exact
question,1.06,1.0,1.11,100,3.99,4.39,3.59,0.07,0.08,0.07,0.3,0.32,0.27,1.36,1.49,1.22,question,en,2124,exact
paperspace student discount,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace student discount,en,2124,exact
cloud computing and machine learning,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud computing and machine learning,en,2124,exact
instructors,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,instructors,en,2124,exact
image left reproducibility,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,image left reproducibility,en,2124,exact
effective days posting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,effective days posting,en,2124,exact
encoder,1.14,1.03,1.26,100,40.73,44.8,36.66,0.22,0.25,0.2,9.13,10.04,8.22,11.9,13.09,10.71,encoder,en,2124,exact
distances,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,distances,en,2124,exact
production,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,production,en,2124,exact
version experiment,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,version experiment,en,2124,exact
context vmworld,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,context vmworld,en,2124,exact
guide started,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guide started,en,2124,exact
scale fast,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scale fast,en,2124,exact
dates,1.06,1.0,1.11,100,23.47,25.82,21.12,2.31,2.54,2.08,54.12,59.53,48.7,117.18,128.9,105.47,dates,en,2124,exact
address problem,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,address problem,en,2124,exact
building,1.06,1.0,1.11,100,15.33,16.86,13.79,0.09,0.1,0.08,1.37,1.51,1.23,4.07,4.47,3.66,building,en,2124,exact
sections wednesday,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sections wednesday,en,2124,exact
structuring,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,structuring,en,2124,exact
packaging,1.08,1.0,1.16,100,42.1,46.31,37.89,0.99,1.09,0.9,41.89,46.08,37.7,42.48,46.72,38.23,packaging,en,2124,exact
jupyter notebook tutorials,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jupyter notebook tutorials,en,2124,exact
coresite,1.52,1.36,1.67,100,78.0,85.8,70.2,0.0,0.01,0.0,0.37,0.4,0.33,0.9,0.99,0.81,coresite,en,2124,exact
hosting service,4.55,4.09,5.0,100,64.45,70.89,58.0,0.05,0.06,0.05,3.4,3.74,3.06,4.52,4.97,4.07,hosting service,en,2124,exact
screen,1.06,1.0,1.11,100,6.34,6.97,5.71,0.45,0.5,0.41,2.86,3.15,2.58,8.28,9.11,7.46,screen,en,2124,exact
start producing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,start producing,en,2124,exact
accelerators transform,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accelerators transform,en,2124,exact
notebook,1.06,1.0,1.12,100,15.94,17.54,14.35,2.53,2.78,2.27,40.28,44.31,36.26,48.65,53.52,43.79,notebook,en,2124,exact
optimize,1.06,1.0,1.11,100,13.66,15.03,12.29,0.04,0.05,0.04,0.59,0.65,0.53,2.41,2.65,2.17,optimize,en,2124,exact
dedicated server with graphics card,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dedicated server with graphics card,en,2124,exact
fixes,1.06,1.0,1.11,100,25.86,28.44,23.27,0.06,0.07,0.05,1.57,1.73,1.41,0.9,0.99,0.81,fixes,en,2124,exact
including feature,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,including feature,en,2124,exact
creating,1.06,1.0,1.11,100,5.86,6.45,5.28,0.01,0.02,0.01,0.09,0.09,0.08,0.45,0.5,0.41,creating,en,2124,exact
talks,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,talks,en,2124,exact
institutional,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,institutional,en,2124,exact
cloud desktop gpu,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud desktop gpu,en,2124,exact
lighting,1.07,1.0,1.14,100,32.14,35.35,28.92,7.08,7.79,6.37,227.46,250.21,204.72,191.14,210.25,172.02,lighting,en,2124,exact
loading pipeline,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loading pipeline,en,2124,exact
run,1.06,1.0,1.11,100,1.75,1.92,1.57,1.13,1.24,1.02,1.98,2.18,1.78,8.13,8.95,7.32,run,en,2124,exact
projects courses,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects courses,en,2124,exact
build,1.26,1.14,1.39,100,20.14,22.15,18.13,0.08,0.09,0.07,1.59,1.75,1.43,1.81,1.99,1.63,build,en,2124,exact
importance solving,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,importance solving,en,2124,exact
cloud,2.08,1.87,2.29,100,40.09,44.1,36.08,3.77,4.15,3.4,151.32,166.45,136.19,209.21,230.13,188.29,cloud,en,2124,exact
explore article long,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,explore article long,en,2124,exact
roughly,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roughly,en,2124,exact
accelerates,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accelerates,en,2124,exact
repository share,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,repository share,en,2124,exact
paperspace free credit,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace free credit,en,2124,exact
parameter classes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parameter classes,en,2124,exact
approximate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,approximate,en,2124,exact
multi,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi,en,2124,exact
original paper,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original paper,en,2124,exact
block pixels,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,block pixels,en,2124,exact
tech events,1.06,1.0,1.11,100,64.8,71.28,58.32,0.01,0.02,0.01,0.9,0.99,0.81,0.9,0.99,0.81,tech events,en,2124,exact
lower bound,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,en,2124,exact
variable,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,variable,en,2124,exact
excites,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excites,en,2124,exact
expands managed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expands managed,en,2124,exact
center,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,center,en,2124,exact
normally stores,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normally stores,en,2124,exact
interface,1.06,1.0,1.11,100,19.51,21.46,17.56,0.11,0.12,0.1,2.06,2.27,1.85,2.56,2.82,2.3,interface,en,2124,exact
sciences engineering,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sciences engineering,en,2124,exact
projects approaching major release,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projects approaching major release,en,2124,exact
solutions,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,solutions,en,2124,exact
models versioned,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,models versioned,en,2124,exact
explores,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,explores,en,2124,exact
presents,1.06,1.0,1.11,100,12.6,13.86,11.34,0.58,0.64,0.52,7.29,8.02,6.56,13.56,14.91,12.2,presents,en,2124,exact
like stepping,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,like stepping,en,2124,exact
txt file,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,txt file,en,2124,exact
area,1.06,1.0,1.11,100,25.86,28.44,23.27,0.03,0.03,0.03,0.77,0.84,0.69,1.66,1.82,1.49,area,en,2124,exact
type,1.06,1.0,1.11,100,12.46,13.7,11.21,0.08,0.09,0.07,1.02,1.12,0.92,1.36,1.49,1.22,type,en,2124,exact
creating accessible,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,creating accessible,en,2124,exact
rent gpu,3.7,3.33,4.07,100,11.03,12.13,9.93,0.03,0.03,0.03,0.32,0.35,0.29,0.9,0.99,0.81,rent gpu,en,2124,exact
promotions,1.25,1.13,1.38,100,42.02,46.22,37.82,0.2,0.22,0.18,8.45,9.29,7.6,11.45,12.59,10.3,promotions,en,2124,exact
directory,1.06,1.0,1.11,100,4.4,4.84,3.96,0.11,0.12,0.1,0.47,0.52,0.43,1.66,1.82,1.49,directory,en,2124,exact
mentors started,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mentors started,en,2124,exact
localization,1.06,1.0,1.11,100,32.13,35.34,28.91,0.01,0.01,0.0,0.17,0.18,0.15,0.45,0.5,0.41,localization,en,2124,exact
modeling benchmarks performs,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,modeling benchmarks performs,en,2124,exact
atoms,1.06,1.0,1.11,100,14.97,16.47,13.48,0.04,0.05,0.04,0.65,0.71,0.58,1.66,1.82,1.49,atoms,en,2124,exact
week,1.06,1.0,1.11,100,10.54,11.6,9.49,0.28,0.3,0.25,2.92,3.21,2.63,13.25,14.58,11.93,week,en,2124,exact
matching,1.06,1.0,1.11,100,40.54,44.6,36.49,0.36,0.4,0.32,14.59,16.05,13.13,8.59,9.44,7.73,matching,en,2124,exact
share,1.06,1.0,1.11,100,9.99,10.99,8.99,0.15,0.17,0.14,1.53,1.69,1.38,4.52,4.97,4.07,share,en,2124,exact
transfer,1.06,1.0,1.11,100,23.64,26.0,21.28,0.08,0.09,0.07,1.93,2.13,1.74,1.36,1.49,1.22,transfer,en,2124,exact
larger,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,larger,en,2124,exact
possible,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,possible,en,2124,exact
study,1.06,1.0,1.11,100,7.77,8.55,6.99,0.1,0.11,0.09,0.78,0.86,0.7,3.31,3.65,2.98,study,en,2124,exact
help,1.06,1.0,1.11,100,5.01,5.51,4.51,0.75,0.83,0.68,3.76,4.14,3.38,18.53,20.38,16.67,help,en,2124,exact
format,1.83,1.64,2.01,100,6.03,6.64,5.43,8.84,9.73,7.96,53.35,58.69,48.02,97.15,106.87,87.44,format,en,2124,exact
trains,1.06,1.0,1.11,100,19.19,21.11,17.27,0.41,0.45,0.37,7.91,8.7,7.12,10.39,11.43,9.35,trains,en,2124,exact
ayoosh,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ayoosh,en,2124,exact
discounts,1.12,1.01,1.24,100,48.45,53.3,43.61,0.39,0.43,0.35,18.97,20.86,17.07,14.01,15.41,12.61,discounts,en,2124,exact
paperspace vpn,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace vpn,en,2124,exact
transferring,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transferring,en,2124,exact
experiments,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experiments,en,2124,exact
order,1.06,1.0,1.11,100,12.43,13.68,11.19,0.47,0.51,0.42,5.79,6.37,5.21,16.42,18.06,14.78,order,en,2124,exact
mission language models,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mission language models,en,2124,exact
obtain files,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,obtain files,en,2124,exact
bacteria,1.76,1.58,1.93,100,50.05,55.05,45.04,0.1,0.11,0.09,5.22,5.74,4.69,10.09,11.1,9.08,bacteria,en,2124,exact
responsiveness,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,responsiveness,en,2124,exact
originally,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,originally,en,2124,exact
repos,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,repos,en,2124,exact
ggplot,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ggplot,en,2124,exact
window open https,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,window open https,en,2124,exact
base,1.06,1.0,1.11,100,36.44,40.08,32.8,0.06,0.06,0.05,2.07,2.27,1.86,3.31,3.65,2.98,base,en,2124,exact
precisely,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,precisely,en,2124,exact
transforms,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transforms,en,2124,exact
paperspace powerful,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspace powerful,en,2124,exact
cfg,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cfg,en,2124,exact
groups,1.06,1.0,1.11,100,13.45,14.8,12.11,0.02,0.02,0.02,0.26,0.28,0.23,0.45,0.5,0.41,groups,en,2124,exact
short term applications discuss,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,short term applications discuss,en,2124,exact
scales,1.1,1.0,1.2,100,39.78,43.75,35.8,1.66,1.83,1.5,66.14,72.76,59.53,43.83,48.21,39.45,scales,en,2124,exact
projected,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,projected,en,2124,exact
miss,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,miss,en,2124,exact
condensed matter,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,condensed matter,en,2124,exact
long,1.06,1.0,1.11,100,12.81,14.09,11.53,0.0,0.01,0.0,0.06,0.06,0.05,0.45,0.5,0.41,long,en,2124,exact
combinations,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,combinations,en,2124,exact
mathematical modeling complex,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mathematical modeling complex,en,2124,exact
improvement,1.06,1.0,1.11,100,3.21,3.54,2.89,0.07,0.08,0.07,0.24,0.27,0.22,1.96,2.15,1.76,improvement,en,2124,exact
sample efficient,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sample efficient,en,2124,exact
lead,1.23,1.11,1.36,100,15.89,17.47,14.3,0.06,0.06,0.05,0.9,0.99,0.81,2.56,2.82,2.3,lead,en,2124,exact
waves,1.07,1.0,1.14,100,13.63,14.99,12.27,12.16,13.37,10.94,165.73,182.3,149.16,156.19,171.81,140.58,waves,en,2124,exact
includes sources,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,includes sources,en,2124,exact
cloud computing,3.66,3.3,4.03,100,67.79,74.57,61.01,0.61,0.68,0.55,41.61,45.77,37.45,82.24,90.46,74.02,cloud computing,en,2124,exact
speed,1.35,1.21,1.48,100,37.66,41.43,33.9,0.01,0.01,0.01,0.29,0.32,0.26,1.2,1.33,1.08,speed,en,2124,exact
case,1.06,1.0,1.12,100,25.03,27.53,22.52,1.88,2.07,1.69,47.07,51.77,42.36,60.4,66.44,54.36,case,en,2124,exact
recent,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recent,en,2124,exact
condensation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,condensation,en,2124,exact
hidden,1.06,1.0,1.11,100,2.97,3.27,2.68,0.15,0.17,0.14,0.46,0.5,0.41,0.9,0.99,0.81,hidden,en,2124,exact
variables operators,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,variables operators,en,2124,exact
privacy authority,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,privacy authority,en,2124,exact
distributed,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,distributed,en,2124,exact
renderer,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,renderer,en,2124,exact
recorded versions registrants,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recorded versions registrants,en,2124,exact
imagenet trained,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,imagenet trained,en,2124,exact
batch normalization,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch normalization,en,2124,exact
linux foundation,2.02,1.82,2.22,100,8.5,9.35,7.65,0.01,0.01,0.01,0.08,0.09,0.07,0.45,0.5,0.41,linux foundation,en,2124,exact
size,1.06,1.0,1.11,100,9.86,10.84,8.87,0.76,0.84,0.69,7.54,8.29,6.79,8.74,9.61,7.86,size,en,2124,exact
